Линейная модель:
E=3 Y=1.6665 U=1.5
E=3.3335 Y=1.17742 U=0.76675
E=3.82258 Y=1.4739 U=1.21124
E=3.5261 Y=1.4995 U=1.24963
E=3.5005 Y=1.80525 U=1.70803
E=3.19475 Y=1.9436 U=1.91544
E=3.0564 Y=2.19213 U=2.28804
E=2.80787 Y=2.35001 U=2.52476
E=2.64999 Y=2.55095 U=2.82601
E=2.44905 Y=2.70282 U=3.0537
E=2.29718 Y=2.86913 U=3.30305
E=2.13087 Y=3.00741 U=3.51035
E=1.99259 Y=3.14779 U=3.72083
E=1.85221 Y=3.27077 U=3.9052
E=1.72923 Y=3.39076 U=4.08509
E=1.60924 Y=3.49889 U=4.24721
E=1.50111 Y=3.60218 U=4.40206
E=1.39782 Y=3.6967 U=4.54379
E=1.3033 Y=3.78597 U=4.67762
E=1.21403 Y=3.86835 U=4.80113
E=1.13165 Y=3.94567 U=4.91704
E=1.05433 Y=4.01734 U=5.0245
E=0.982657 Y=4.08439 U=5.12503
E=0.915608 Y=4.1467 U=5.21844
E=0.853303 Y=4.20488 U=5.30566
E=0.795122 Y=4.25901 U=5.38683
E=0.740987 Y=4.30952 U=5.46254
E=0.690483 Y=4.35654 U=5.53304
E=0.643459 Y=4.40039 U=5.59878
E=0.599612 Y=4.44123 U=5.66001
E=0.55877 Y=4.4793 U=5.71709
E=0.520699 Y=4.51477 U=5.77027
E=0.485229 Y=4.54783 U=5.81984
E=0.45217 Y=4.57863 U=5.86602
E=0.421367 Y=4.60734 U=5.90906
E=0.39266 Y=4.63409 U=5.94916
E=0.36591 Y=4.65902 U=5.98653
E=0.340982 Y=4.68225 U=6.02136
E=0.317753 Y=4.70389 U=6.05382
E=0.296105 Y=4.72407 U=6.08406
E=0.275933 Y=4.74287 U=6.11224
E=0.257135 Y=4.76038 U=6.13851
E=0.239617 Y=4.77671 U=6.16298
E=0.223293 Y=4.79192 U=6.18579
E=0.208081 Y=4.80609 U=6.20704
E=0.193905 Y=4.8193 U=6.22684
E=0.180695 Y=4.83161 U=6.2453
E=0.168385 Y=4.84309 U=6.2625
E=0.156914 Y=4.85378 U=6.27852
E=0.146224 Y=4.86374 U=6.29346
Нелинейная модель: 
E=3 Y=2.7875 U=1.5
E=2.2125 Y=2.61877 U=0.20625
E=2.38123 Y=2.52842 U=0.826867
E=2.47158 Y=2.9205 U=1.04267
E=2.0795 Y=2.99554 U=1.05765
E=2.00446 Y=3.17126 U=1.38491
E=1.82874 Y=3.3047 U=1.52751
E=1.6953 Y=3.41114 U=1.71396
E=1.58886 Y=3.49534 U=1.88364
E=1.50466 Y=3.55889 U=2.043
E=1.44111 Y=3.60692 U=2.19537
E=1.39308 Y=3.64165 U=2.34089
E=1.35835 Y=3.66674 U=2.48204
E=1.33326 Y=3.68359 U=2.61923
E=1.31641 Y=3.69467 U=2.75416
E=1.30533 Y=3.70083 U=2.887
E=1.29917 Y=3.70394 U=3.01889
E=1.29606 Y=3.70466 U=3.14972
E=1.29534 Y=3.70464 U=3.28021
E=1.29536 Y=3.70453 U=3.41003
E=1.29547 Y=3.70586 U=3.53962
E=1.29414 Y=3.70925 U=3.66846
E=1.29075 Y=3.71609 U=3.79671
E=1.28391 Y=3.7269 U=3.92372
E=1.2731 Y=3.74274 U=4.04944
E=1.25726 Y=3.76391 U=4.17316
E=1.23609 Y=3.79098 U=4.29463
E=1.20902 Y=3.82387 U=4.41318
E=1.17613 Y=3.86257 U=4.52846
E=1.13743 Y=3.90659 U=4.63988
E=1.09341 Y=3.9554 U=4.74709
E=1.0446 Y=4.00818 U=4.84964
E=0.991825 Y=4.06404 U=4.94723
E=0.935965 Y=4.122 U=5.0396
E=0.878001 Y=4.1811 U=5.12655
E=0.818904 Y=4.24038 U=5.20799
E=0.759617 Y=4.299 U=5.28388
E=0.700997 Y=4.3562 U=5.35424
E=0.643798 Y=4.41136 U=5.41919
E=0.588642 Y=4.46398 U=5.47887
E=0.536023 Y=4.5137 U=5.53349
E=0.486303 Y=4.56028 U=5.58328
E=0.439721 Y=4.60359 U=5.62851
E=0.396409 Y=4.64359 U=5.66946
E=0.356409 Y=4.68031 U=5.70642
E=0.319686 Y=4.71385 U=5.7397
E=0.286146 Y=4.74435 U=5.76959
E=0.255654 Y=4.77196 U=5.79637
E=0.228042 Y=4.79687 U=5.82033
E=0.203126 Y=4.81929 U=5.84172
