Линейная модель: 
E=2 Y=0.9 U=1
E=3.1 Y=0.875 U=0.95
E=3.125 Y=0.81625 U=0.8325
E=3.18375 Y=0.982187 U=1.16437
E=3.01781 Y=1.08814 U=1.37628
E=2.91186 Y=1.24573 U=1.69146
E=2.75427 Y=1.37312 U=1.94623
E=2.62688 Y=1.5105 U=2.221
E=2.4895 Y=1.63298 U=2.46595
E=2.36702 Y=1.75431 U=2.70862
E=2.24569 Y=1.86682 U=2.93365
E=2.13318 Y=1.97525 U=3.15049
E=2.02475 Y=2.0773 U=3.3546
E=1.9227 Y=2.17471 U=3.54942
E=1.82529 Y=2.2669 U=3.73381
E=1.7331 Y=2.3546 U=3.9092
E=1.6454 Y=2.43777 U=4.07554
E=1.56223 Y=2.51679 U=4.23358
E=1.48321 Y=2.59178 U=4.38356
E=1.40822 Y=2.663 U=4.52599
E=1.337 Y=2.7306 U=4.6612
E=1.2694 Y=2.79479 U=4.78958
E=1.20521 Y=2.85574 U=4.91147
E=1.14426 Y=2.9136 U=5.0272
E=1.0864 Y=2.96853 U=5.13707
E=1.03147 Y=3.02069 U=5.24139
E=0.979307 Y=3.07021 U=5.34043
E=0.929786 Y=3.11723 U=5.43446
E=0.882769 Y=3.16187 U=5.52374
E=0.83813 Y=3.20425 U=5.6085
E=0.795748 Y=3.24449 U=5.68898
E=0.755509 Y=3.2827 U=5.76539
E=0.717305 Y=3.31897 U=5.83793
E=0.681033 Y=3.35341 U=5.90681
E=0.646595 Y=3.3861 U=5.9722
E=0.613898 Y=3.41715 U=6.03429
E=0.582855 Y=3.44662 U=6.09324
E=0.553382 Y=3.4746 U=6.1492
E=0.525398 Y=3.50117 U=6.20234
E=0.49883 Y=3.52639 U=6.25279
E=0.473606 Y=3.55034 U=6.30069
E=0.449657 Y=3.57308 U=6.34616
E=0.426919 Y=3.59467 U=6.38934
E=0.405331 Y=3.61517 U=6.43033
E=0.384834 Y=3.63463 U=6.46925
E=0.365374 Y=3.6531 U=6.5062
E=0.346898 Y=3.67064 U=6.54129
E=0.329357 Y=3.6873 U=6.5746
E=0.312702 Y=3.70311 U=6.60622
E=0.296889 Y=3.71812 U=6.63625
Нелинейная модель: 
E=2 Y=2.3 U=1
E=1.7 Y=0.495735 U=0.25
E=3.50426 Y=0.556342 U=1.44213
E=3.44366 Y=0.808032 U=1.04055
E=3.19197 Y=0.816335 U=1.28331
E=3.18366 Y=0.989191 U=1.69903
E=3.01081 Y=1.07618 U=1.93429
E=2.92382 Y=1.14564 U=2.26102
E=2.85436 Y=1.15159 U=2.55347
E=2.84841 Y=1.13651 U=2.86371
E=2.86349 Y=1.0847 U=3.15848
E=2.9153 Y=1.03097 U=3.4647
E=2.96903 Y=0.969955 U=3.76237
E=3.03005 Y=0.929652 U=4.06829
E=3.07035 Y=0.910292 U=4.36704
E=3.08971 Y=0.929811 U=4.66763
E=3.07019 Y=0.98823 U=4.9591
E=3.01177 Y=1.08855 U=5.24472
E=2.91145 Y=1.22492 U=5.5191
E=2.77508 Y=1.38872 U=5.78219
E=2.61128 Y=1.56955 U=6.03234
E=2.43045 Y=1.75646 U=6.26857
E=2.24354 Y=1.93984 U=6.4905
E=2.06016 Y=2.11229 U=6.69793
E=1.88771 Y=2.2688 U=6.89107
E=1.7312 Y=2.40674 U=7.07057
E=1.59326 Y=2.52545 U=7.23732
E=1.47455 Y=2.62565 U=7.39246
E=1.37435 Y=2.70888 U=7.53731
E=1.29112 Y=2.7771 U=7.6732
E=1.2229 Y=2.8323 U=7.8015
E=1.1677 Y=2.87635 U=7.92348
E=1.12365 Y=2.91088 U=8.0403
E=1.08912 Y=2.93725 U=8.15302
E=1.06275 Y=2.95658 U=8.26256
E=1.04342 Y=2.96976 U=8.36972
E=1.03024 Y=2.97752 U=8.4752
E=1.02248 Y=2.98047 U=8.57962
E=1.01953 Y=2.97909 U=8.6835
E=1.02091 Y=2.97381 U=8.78732
E=1.02619 Y=2.96503 U=8.8915
E=1.03497 Y=2.9531 U=8.9964
E=1.0469 Y=2.9384 U=9.10234
E=1.0616 Y=2.92132 U=9.20961
E=1.07868 Y=2.90228 U=9.31843
E=1.09772 Y=2.88177 U=9.42899
E=1.11823 Y=2.86032 U=9.5414
E=1.13968 Y=2.83854 U=9.65574
E=1.16146 Y=2.81715 U=9.77202
E=1.18285 Y=2.79689 U=9.89015
