Linear Model:
E=3 Y=1.8666 U=1.8
E=3.1334 Y=1.11959 U=0.68004
E=3.88041 Y=1.58305 U=1.37489
E=3.41695 Y=1.40727 U=1.11134
E=3.59273 Y=1.86009 U=1.79024
E=3.13991 Y=1.85988 U=1.78993
E=3.14012 Y=2.22041 U=2.33046
E=2.77959 Y=2.28551 U=2.42805
E=2.71449 Y=2.56509 U=2.84721
E=2.43491 Y=2.65597 U=2.98346
E=2.34403 Y=2.87525 U=3.31222
E=2.12475 Y=2.97415 U=3.46049
E=2.02585 Y=3.14942 U=3.72327
E=1.85058 Y=3.24738 U=3.87014
E=1.75262 Y=3.39006 U=4.08405
E=1.60994 Y=3.48253 U=4.22269
E=1.51747 Y=3.60049 U=4.39954
E=1.39951 Y=3.68534 U=4.52675
E=1.31466 Y=3.78407 U=4.67477
E=1.21593 Y=3.86054 U=4.78942
E=1.13946 Y=3.94397 U=4.9145
E=1.05603 Y=4.01209 U=5.01662
E=0.987914 Y=4.08309 U=5.12307
E=0.916914 Y=4.14328 U=5.21332
E=0.856717 Y=4.20403 U=5.30439
E=0.795971 Y=4.25694 U=5.38371
E=0.743063 Y=4.30911 U=5.46194
E=0.690887 Y=4.35544 U=5.53139
E=0.64456 Y=4.40038 U=5.59877
E=0.599617 Y=4.44084 U=5.65943
E=0.559162 Y=4.47963 U=5.71759
E=0.520369 Y=4.51489 U=5.77046
E=0.485106 Y=4.54843 U=5.82073
E=0.451571 Y=4.57912 U=5.86675
E=0.420876 Y=4.60814 U=5.91026
E=0.391857 Y=4.63484 U=5.95028
E=0.36516 Y=4.65997 U=5.98796
E=0.34003 Y=4.68317 U=6.02275
E=0.316828 Y=4.70495 U=6.05539
E=0.295052 Y=4.7251 U=6.08561
E=0.274897 Y=4.74398 U=6.11391
E=0.256021 Y=4.76148 U=6.14015
E=0.238517 Y=4.77785 U=6.16469
E=0.22215 Y=4.79305 U=6.18748
E=0.206954 Y=4.80724 U=6.20876
E=0.19276 Y=4.82043 U=6.22853
E=0.179568 Y=4.83274 U=6.24699
E=0.167257 Y=4.84419 U=6.26416
E=0.155807 Y=4.85487 U=6.28017
E=0.145127 Y=4.86481 U=6.29507
E=0.13519 Y=4.87407 U=6.30896
E=0.125926 Y=4.8827 U=6.32189
E=0.117302 Y=4.89074 U=6.33394
E=0.109264 Y=4.89822 U=6.34516
E=0.101781 Y=4.90519 U=6.35561
E=0.0948071 Y=4.91169 U=6.36535
E=0.0883141 Y=4.91774 U=6.37442
E=0.082263 Y=4.92337 U=6.38287
E=0.0766287 Y=4.92862 U=6.39074
E=0.0713787 Y=4.93351 U=6.39807
E=0.0664897 Y=4.93807 U=6.4049
E=0.0619345 Y=4.94231 U=6.41126
E=0.0576921 Y=4.94626 U=6.41718
E=0.0537395 Y=4.94994 U=6.4227
E=0.0500588 Y=4.95337 U=6.42784
E=0.046629 Y=4.95656 U=6.43263
E=0.0434351 Y=4.95954 U=6.43709
E=0.0404592 Y=4.96231 U=6.44125
E=0.0376883 Y=4.96489 U=6.44512
E=0.0351057 Y=4.9673 U=6.44872
E=0.0327015 Y=4.96954 U=6.45208
E=0.0304608 Y=4.97163 U=6.45521
E=0.0283742 Y=4.97357 U=6.45813
E=0.0264306 Y=4.97538 U=6.46084
E=0.0246196 Y=4.97707 U=6.46337
E=0.0229335 Y=4.97864 U=6.46572
E=0.0213618 Y=4.9801 U=6.46792
E=0.0198989 Y=4.98146 U=6.46996
E=0.0185356 Y=4.98273 U=6.47187
E=0.0172658 Y=4.98392 U=6.47364
E=0.0160828 Y=4.98502 U=6.47529
E=0.0149813 Y=4.98605 U=6.47683
E=0.0139546 Y=4.987 U=6.47826
E=0.0129991 Y=4.98789 U=6.4796
E=0.0121083 Y=4.98872 U=6.48084
E=0.0112791 Y=4.98949 U=6.482
E=0.0105062 Y=4.99021 U=6.48308
E=0.00978661 Y=4.99088 U=6.48408
E=0.00911617 Y=4.99151 U=6.48502
E=0.00849199 Y=4.99209 U=6.48589
E=0.00791025 Y=4.99263 U=6.4867
E=0.00736856 Y=4.99314 U=6.48746
E=0.00686407 Y=4.99361 U=6.48817
E=0.00639343 Y=4.99404 U=6.48882
E=0.0059557 Y=4.99445 U=6.48943
E=0.00554752 Y=4.99483 U=6.49
E=0.00516796 Y=4.99519 U=6.49053
E=0.00481367 Y=4.99552 U=6.49103
E=0.00448418 Y=4.99582 U=6.49149
E=0.00417662 Y=4.99611 U=6.49192
NonLinear Model:
E=3 Y=2.945 U=1.8
E=2.055 Y=2.5154 U=0.0330001
E=2.4846 Y=2.51272 U=0.968763
E=2.48728 Y=2.94661 U=1.00402
E=2.05339 Y=2.95003 U=0.991083
E=2.04997 Y=3.16697 U=1.41132
E=1.83303 Y=3.28626 U=1.48786
E=1.71374 Y=3.40672 U=1.70805
E=1.59328 Y=3.48693 U=1.8668
E=1.51307 Y=3.55904 U=2.03823
E=1.44096 Y=3.60333 U=2.18638
E=1.39667 Y=3.64391 U=2.33995
E=1.35609 Y=3.66466 U=2.47742
E=1.33534 Y=3.68637 U=2.62087
E=1.31363 Y=3.69266 U=2.75175
E=1.30734 Y=3.70367 U=2.89019
E=1.29633 Y=3.70157 U=3.01747
E=1.29843 Y=3.70758 U=3.15387
E=1.29242 Y=3.70186 U=3.27905
E=1.29814 Y=3.7076 U=3.41473
E=1.2924 Y=3.70275 U=3.53824
E=1.29725 Y=3.71244 U=3.67326
E=1.28756 Y=3.71289 U=3.79475
E=1.28711 Y=3.73 U=3.92808
E=1.27 Y=3.73971 U=4.04675
E=1.26029 Y=3.76653 U=4.17648
E=1.23347 Y=3.78832 U=4.29127
E=1.21168 Y=3.82552 U=4.41495
E=1.17448 Y=3.86032 U=4.5247
E=1.13968 Y=3.90695 U=4.63987
E=1.09305 Y=3.95339 U=4.74326
E=1.04661 Y=4.00726 U=4.84801
E=0.992743 Y=4.062 U=4.94357
E=0.938003 Y=4.12016 U=5.03694
E=0.879841 Y=4.17889 U=5.12321
E=0.821107 Y=4.23813 U=5.20504
E=0.761873 Y=4.29674 U=5.28097
E=0.703259 Y=4.35399 U=5.35161
E=0.646005 Y=4.40932 U=5.41689
E=0.590679 Y=4.46217 U=5.47692
E=0.537833 Y=4.51217 U=5.53194
E=0.487826 Y=4.55909 U=5.58215
E=0.44091 Y=4.60275 U=5.62778
E=0.397246 Y=4.64312 U=5.66913
E=0.356882 Y=4.6802 U=5.70647
E=0.319799 Y=4.71408 U=5.74009
E=0.28592 Y=4.74489 U=5.77029
E=0.255113 Y=4.77278 U=5.79733
E=0.227221 Y=4.79794 U=5.82151
E=0.202061 Y=4.82056 U=5.84309
E=0.17944 Y=4.84084 U=5.8623
E=0.159159 Y=4.85898 U=5.87938
E=0.141022 Y=4.87516 U=5.89456
E=0.124837 Y=4.88958 U=5.90802
E=0.110422 Y=4.9024 U=5.91995
E=0.0976028 Y=4.91378 U=5.9305
E=0.0862203 Y=4.92387 U=5.93984
E=0.0761251 Y=4.93282 U=5.9481
E=0.0671806 Y=4.94074 U=5.95539
E=0.0592642 Y=4.94774 U=5.96183
E=0.0522623 Y=4.95393 U=5.96752
E=0.0460739 Y=4.95939 U=5.97253
E=0.0406075 Y=4.96422 U=5.97695
E=0.0357823 Y=4.96848 U=5.98085
E=0.0315232 Y=4.97223 U=5.98429
E=0.0277667 Y=4.97555 U=5.98732
E=0.0244546 Y=4.97847 U=5.98998
E=0.021534 Y=4.98104 U=5.99233
E=0.01896 Y=4.98331 U=5.9944
E=0.0166926 Y=4.98531 U=5.99622
E=0.0146947 Y=4.98706 U=5.99783
E=0.0129352 Y=4.98861 U=5.99924
